Name,Age,Quantity,Product Type,Distributor,Base Price,Margin,Total Price,Sold By,Date,Membership Number
Ronalda,43,5,Regional Specials,India,6620,235,1501,Ronalda Ettridge,7/26/2024,01JGGCHAFZM5D6DY42J2CP1P89
Karine,43,12,Handloom Sarees,India,4296,9,6227,Karine Syversen,7/5/2024,01JGGCHAG1YB2B89C6DPGHPYES
Gillian,58,3,Embroidered Sarees,India,7543,356,4058,Gillian Elphinstone,12/11/2022,01JGGCHAG2F4Q99GD629GYCBTN
Hermina,76,9,Cotton Sarees,India,2570,206,6203,Hermina Kundt,1/27/2024,01JGGCHAG3QGET1EA5BBXEKZNS
Robinetta,75,7,Handloom Sarees,India,5930,102,1061,Robinetta Keysel,4/11/2023,01JGGCHAG58T0KNS7Y66M412SN
Junina,49,12,Cotton Sarees,India,9037,122,4627,Junina Hegg,3/12/2024,01JGGCHAG6YH8PK61ZAEWX0HJX
Dena,59,15,Embroidered Sarees,India,5085,372,6285,Dena Howse,11/1/2024,01JGGCHAG7P8DXZR5AJZWPXRBM
Devonna,66,14,Silk Sarees,India,9620,177,3422,Devonna Roston,10/14/2024,01JGGCHAG9GW5GK4C276VVE300
Myrah,39,12,Cotton Sarees,India,7968,260,1847,Myrah Ronci,5/7/2023,01JGGCHAGABTD4SH68PDF1WS90
Chad,28,7,Regional Specials,India,656,249,279,Chad Frain,3/20/2024,01JGGCHAGBK3HJ5491XCBY9SD1
Caroljean,61,3,Handloom Sarees,India,3109,23,8880,Caroljean Lofthouse,9/9/2022,01JGGCHAGC2R6RSWXV8RK9ZMT4
Jennica,65,12,Regional Specials,India,189,284,5329,Jennica Dufour,6/22/2023,01JGGCHAGD6N16WR9YAZAH5DZC
Janeen,46,8,Silk Sarees,India,2315,5,9367,Janeen Callow,7/6/2022,01JGGCHAGE807NP5GXWEK6TP3B
Velma,75,4,Regional Specials,India,5964,160,782,Velma Firman,9/29/2023,01JGGCHAGGQK0R5XDE3A9GCHM9
Bethena,66,10,Cotton Sarees,India,9239,393,3887,Bethena Elcoat,11/13/2024,01JGGCHAGHMFSEVT2E16XDX1Z5
Melesa,40,15,Cotton Sarees,India,2107,91,8797,Melesa Broadberry,11/26/2024,01JGGCHAGH7P9KFSEFXQ7MZZ6N
Carrie,26,10,Cotton Sarees,India,964,25,6595,Carrie Moreman,3/17/2024,01JGGCHAGJG5H2N348JW95W9E4
Nicky,75,3,Handloom Sarees,India,6378,257,3620,Nicky Forty,10/15/2024,01JGGCHAGKAFZHPDYMFTST9BAM
Morgana,68,3,Regional Specials,India,8539,381,4287,Morgana Moreby,4/6/2023,01JGGCHAGMF51Z5MS58AX40S4G
Jeannie,27,14,Modern Sarees,India,7593,239,6955,Jeannie Flobert,11/6/2023,01JGGCHAGNYKZ4JQ29ZPTB57YZ
Mari,80,11,Embroidered Sarees,India,7601,246,5844,Mari McAvin,8/14/2022,01JGGCHAGQ04FQ0P0WW1HBC3HP
Avivah,42,11,Cotton Sarees,India,1870,363,852,Avivah Sams,2/28/2023,01JGGCHAGSF9D21FVWC7JA92EH
Cynde,72,7,Silk Sarees,India,757,320,63,Cynde Breache,11/20/2023,01JGGCHAGTMGSCD25YQHQ8HSYK
Elberta,54,1,Cotton Sarees,India,3157,366,1213,Elberta Gambell,12/18/2024,01JGGCHAGVR66WZNWKD35EEFA9
Crysta,50,15,Cotton Sarees,India,6359,384,93,Crysta Cars,7/1/2024,01JGGCHAGWPNAXRZYXJXDDK28M
Muffin,36,14,Handloom Sarees,India,106,86,4550,Muffin Woodsford,1/9/2023,01JGGCHAGXP90F2AG9EMZG3X4A
Arleen,72,13,Embroidered Sarees,India,5908,367,4310,Arleen Malkinson,4/1/2023,01JGGCHAGYHVCJS8T3TAC0MZBQ
Remy,58,8,Handloom Sarees,India,262,189,4539,Remy Baylis,8/27/2024,01JGGCHAGZS1EKWDVA4FCSV6W9
Joelie,54,5,Handloom Sarees,India,6121,31,7357,Joelie Ferraraccio,6/24/2024,01JGGCHAH090Q4RG5PG4XY6YV8
Britta,49,11,Cotton Sarees,India,6486,245,3732,Britta Pennick,1/21/2024,01JGGCHAH10G4NR2RB1E4N5968
Sibel,62,3,Modern Sarees,India,9280,370,2921,Sibel Yurchishin,6/13/2022,01JGGCHAH3Q0VR00T00WCS6RYH
Binny,63,8,Modern Sarees,India,2191,91,2046,Binny Giffkins,8/8/2024,01JGGCHAH462A1XEPMDDRKHYRR
Seka,37,8,Regional Specials,India,5862,82,2837,Seka Jorge,8/5/2024,01JGGCHAH538JVKVR5W2PQ6M43
Aura,53,5,Cotton Sarees,India,7907,298,8151,Aura Guidone,4/4/2023,01JGGCHAH6GQ1JHT3QETKN46YW
Nicoline,71,14,Cotton Sarees,India,5911,260,6047,Nicoline Halgarth,7/15/2023,01JGGCHAH7RQ0CF2H9F02ZV8EB
Kalindi,43,13,Cotton Sarees,India,9098,77,5732,Kalindi Leate,8/26/2023,01JGGCHAH8VWVXC84P2CJ05ED3
Virginia,52,13,Embroidered Sarees,India,3795,63,4384,Virginia Frankema,8/31/2022,01JGGCHAH906QCBK0HYA6069VH
Desirae,73,11,Modern Sarees,India,2476,237,9833,Desirae Geere,4/16/2024,01JGGCHAHAA0E7PZHD8GFM3SBX
Hedwiga,71,4,Silk Sarees,India,7543,303,5165,Hedwiga Brewett,1/9/2023,01JGGCHAHBNYB6XPR647RAAPQW
Ginevra,78,6,Embroidered Sarees,India,5149,140,2280,Ginevra Keller,7/1/2023,01JGGCHAHC5NG1M39Q4TBEYQHH
Karin,61,9,Handloom Sarees,India,4731,361,2272,Karin Barkway,7/21/2022,01JGGCHAHE8PY3NKB8DJFBAXN3
Melonie,36,12,Handloom Sarees,India,9402,268,9784,Melonie Parmer,4/5/2024,01JGGCHAHFYHW1HRT2STVAH3SK
Elysia,26,14,Regional Specials,India,2406,96,3454,Elysia Domney,11/2/2024,01JGGCHAHGAVEVHJWAVMWPMDPD
Joana,53,13,Handloom Sarees,India,5362,164,8490,Joana Dunseath,8/6/2022,01JGGCHAHHKXD62YZDXG3ZCNFS
Sandra,57,4,Regional Specials,India,5008,381,2529,Sandra Ritmeyer,9/1/2024,01JGGCHAHJYM3GJHYYZFND8TXD
Joelle,77,5,Silk Sarees,India,9723,57,3188,Joelle Twelftree,4/17/2023,01JGGCHAHMACT6EDSVMVQMG237
Astra,70,8,Regional Specials,India,3998,42,5283,Astra Dorset,5/19/2023,01JGGCHAHNSXJSYM46RWX6J1JC
Leena,72,3,Regional Specials,India,9689,79,2799,Leena Duffil,9/19/2024,01JGGCHAHPPBEY8CFK1EM4J4AZ
Trudie,25,7,Embroidered Sarees,India,9964,122,1543,Trudie Ames,12/3/2023,01JGGCHAHQGQ6WTPWRETKXZN2D
Gratia,55,7,Embroidered Sarees,India,4137,187,9992,Gratia Warrington,6/27/2023,01JGGCHAHRCMXEJ5MQNVK85F6X
Ulrica,26,8,Regional Specials,India,4451,298,2534,Ulrica Stebbins,12/12/2024,01JGGCHAHSDEFFY5DJWNZ4VHT2
Becka,76,14,Regional Specials,India,6305,228,5488,Becka Agnew,12/21/2023,01JGGCHAHTQBZGDA7ZJXEWD2PD
Aundrea,75,9,Regional Specials,India,7945,74,4019,Aundrea Dodle,2/23/2023,01JGGCHAHVYXQ3R527ENP3XNBJ
Celestia,65,14,Handloom Sarees,India,9735,294,7852,Celestia Chrestien,3/22/2023,01JGGCHAHWSC4J3EE79MT0PV0W
Karyl,53,12,Modern Sarees,India,3396,343,6166,Karyl Gorcke,5/23/2023,01JGGCHAHXKKT2QHB8QJ1P40AX
Doris,48,12,Embroidered Sarees,India,2270,76,9878,Doris Burdis,7/8/2024,01JGGCHAHYBC91TJ992N602J8A
Karly,71,7,Embroidered Sarees,India,2881,254,9423,Karly Sydall,4/13/2024,01JGGCHAHZ361E5JQNG96HKY7J
Julienne,52,11,Silk Sarees,India,8609,144,1675,Julienne Dunlap,4/28/2024,01JGGCHAJ145N0GR6BNFWFQ1AR
Krissy,21,9,Modern Sarees,India,8584,121,3956,Krissy Forshaw,6/21/2024,01JGGCHAJ29V0XPDVKM0ZWB6ZN
Monica,52,9,Cotton Sarees,India,7547,292,9848,Monica Fanshaw,6/24/2023,01JGGCHAJ3Q1T1E7KPQYYKHA01
Denys,68,5,Modern Sarees,India,6913,71,2103,Denys Petford,8/20/2024,01JGGCHAJ4MY14KX4TZN981SYR
Aindrea,36,9,Handloom Sarees,India,6495,25,6018,Aindrea Cheverton,10/18/2024,01JGGCHAJ5NHNGP4D62Y3GNA3S
Shaylah,62,2,Cotton Sarees,India,4625,195,9778,Shaylah Jaze,5/26/2024,01JGGCHAJ6VJNA9HSSSR85MJE7
Vina,47,14,Silk Sarees,India,9846,207,1700,Vina Grotty,6/23/2022,01JGGCHAJ7M5VP1PTJ7YHG2TTB
Florina,58,2,Silk Sarees,India,1987,293,3448,Florina Purslow,8/7/2023,01JGGCHAJ82T163Q03EPQ382S6
Sherline,43,2,Cotton Sarees,India,7362,229,5551,Sherline Tzar,8/30/2022,01JGGCHAJ9VN61YGYPNZ1F4W12
Luz,25,12,Handloom Sarees,India,7502,143,784,Luz Tembey,5/25/2024,01JGGCHAJAHN2ATARK87PY2BDC
Nikki,20,2,Regional Specials,India,8289,181,6142,Nikki Crunkhorn,2/14/2023,01JGGCHAJB9DA929FAQC77FRA5
Ernestine,62,8,Handloom Sarees,India,9587,267,5884,Ernestine Scotchbourouge,3/14/2023,01JGGCHAJCA8RZXCFM5V89HRZV
Ryann,70,11,Regional Specials,India,8475,139,1959,Ryann Cooksley,3/12/2024,01JGGCHAJDE0C2EB74QNXF7JBK
Alis,22,1,Modern Sarees,India,548,147,1549,Alis MacGarvey,11/24/2023,01JGGCHAJEPHV1W2ES34BQN1S9
Madeline,39,10,Handloom Sarees,India,2557,26,6023,Madeline Scholfield,3/10/2023,01JGGCHAJFC8VKXGQZVZ5R51A8
Damita,80,6,Embroidered Sarees,India,5085,392,3821,Damita Jorg,5/3/2024,01JGGCHAJG1H9GP5577D101ZFG
Delly,68,5,Modern Sarees,India,1981,160,3200,Delly Ewings,10/6/2022,01JGGCHAJH5BFQV3RBEMKVH2XW
Bonnibelle,41,4,Cotton Sarees,India,8746,353,5608,Bonnibelle Le Friec,10/31/2023,01JGGCHAJJGM6DB06BX9AM0GHQ
Regina,46,7,Silk Sarees,India,463,68,9116,Regina Lettley,10/23/2022,01JGGCHAJKDJEFW4W5Q2GS6E2K
Delcine,62,6,Modern Sarees,India,5736,1,921,Delcine Boatman,6/13/2022,01JGGCHAJMNG2NGD2YE9F5Z046
Christine,49,11,Cotton Sarees,India,2291,282,9393,Christine Ritzman,9/19/2024,01JGGCHAJN0FGWCAN7GR9MBF55
Betsey,59,7,Regional Specials,India,8223,187,1477,Betsey Shury,2/7/2023,01JGGCHAJPRYJ7KMT3NAWJC5R2
Mandy,20,2,Silk Sarees,India,2987,261,6515,Mandy Gookey,6/20/2022,01JGGCHAK3QX922GMDP1SG34A9
Roobbie,68,7,Modern Sarees,India,9842,210,9308,Roobbie Orlton,12/17/2022,01JGGCHAK5QFQ9HX5BQ9ZMNFYC
Norrie,35,15,Regional Specials,India,2702,44,287,Norrie Miles,10/14/2022,01JGGCHAK672KN353BAHB2EJRC
Aloisia,61,4,Embroidered Sarees,India,7100,389,6812,Aloisia Mooney,10/7/2024,01JGGCHAK7GW6P9FTE8D08RNM5
Ettie,67,14,Handloom Sarees,India,2805,293,3994,Ettie Pakenham,1/21/2023,01JGGCHAK87PKP6JV2MR8Z4E3G
Juanita,79,8,Cotton Sarees,India,1859,142,420,Juanita Treasure,10/12/2024,01JGGCHAK98YM6AK4FHP2YRY0M
Gabriella,68,10,Cotton Sarees,India,9458,241,7234,Gabriella Lamonby,8/16/2023,01JGGCHAKB1E3KB9N0YRSBG82Q
Dalila,39,4,Regional Specials,India,7869,45,6731,Dalila Bartkiewicz,9/22/2023,01JGGCHAKCSQ1SJF25EBAT857S
Mellisa,75,3,Regional Specials,India,1200,119,1112,Mellisa Greiser,9/13/2024,01JGGCHAKDXKWP2TYE4FCDTE9N
Shirl,69,2,Regional Specials,India,2229,25,3418,Shirl Garton,3/28/2023,01JGGCHAKE2FQ2SSVF6T3R8YMR
Remy,21,4,Silk Sarees,India,2649,301,2572,Remy Bloor,11/14/2023,01JGGCHAKF9SZVZAVYPDB7MDQS
Nara,28,5,Embroidered Sarees,India,697,184,7808,Nara Rudsdale,9/5/2024,01JGGCHAKG6NN1B3M66K2HF1XT
Kelly,20,4,Embroidered Sarees,India,2529,327,976,Kelly Olohan,1/23/2023,01JGGCHAKHT796ET452T8VR8JQ
Sammy,35,10,Embroidered Sarees,India,1195,298,4284,Sammy Jandera,2/22/2023,01JGGCHAKJJ0ST6XRRJ1MBNHEJ
Yolanda,70,4,Regional Specials,India,7350,121,5051,Yolanda Stealey,8/19/2022,01JGGCHAKK6NST718V9VCDBDF0
Leonelle,56,6,Silk Sarees,India,9337,239,5411,Leonelle Gilpin,7/22/2024,01JGGCHAKMVC2HY15MS83G6RV2
Aubree,46,7,Cotton Sarees,India,7073,344,5436,Aubree Keenan,12/24/2024,01JGGCHAKNG60QPWRSSTEQY3PC
Constantia,68,12,Handloom Sarees,India,8827,171,8053,Constantia Grieg,9/15/2023,01JGGCHAKPR2316YPJEDJDQX2V
Merrilee,58,6,Modern Sarees,India,1459,160,2493,Merrilee Baress,11/16/2022,01JGGCHAKQ4ANS823CPJ6S9VX6
Adriena,75,9,Handloom Sarees,India,381,107,7310,Adriena Luxen,1/29/2024,01JGGCHAKRB7NK0X7NTGP09TE9
Hermina,64,4,Silk Sarees,India,6710,122,4631,Hermina Fidler,11/15/2024,01JGGCHAKSAHVVS8DPQEW6E3YX
Margarete,34,9,Embroidered Sarees,India,3748,38,3110,Margarete Tilmouth,3/2/2023,01JGGCHAKT6GAGESJ7Y8Z8D8KV
Dreddy,78,2,Handloom Sarees,India,2121,8,3814,Dreddy Trembath,6/23/2022,01JGGCHAKVE7S5A3Q8GE66MDSZ
Nolana,49,6,Cotton Sarees,India,6696,374,3830,Nolana Probetts,2/15/2023,01JGGCHAKWRDP8T4DPKCDS763F
Tildie,42,5,Modern Sarees,India,7087,269,8174,Tildie Lawtie,5/12/2024,01JGGCHAKXYS0VHKRZTWCBKS0F
Rona,51,3,Modern Sarees,India,8865,150,2694,Rona Liptrot,1/22/2024,01JGGCHAKY4DJCMV9H14NQX9V4
Germana,62,4,Cotton Sarees,India,6255,297,6434,Germana Barrington,7/7/2024,01JGGCHAKZ9HVHN7CSXFAY06JN
Alvinia,74,11,Modern Sarees,India,989,365,8335,Alvinia Keedy,6/20/2024,01JGGCHAMAA0TGPS0AD85ESNB8
Trixy,29,2,Silk Sarees,India,3326,365,5293,Trixy Dinley,4/30/2024,01JGGCHAMBX8SCBJNBF1MCX0D5
Veronica,27,5,Silk Sarees,India,72,108,3547,Veronica Zohrer,9/8/2022,01JGGCHAMCHWGVP479X5WW57QY
Codi,72,4,Handloom Sarees,India,4475,343,7430,Codi Tench,2/3/2023,01JGGCHAMDF3A2QKN40FCSBS8A
Lizette,77,11,Handloom Sarees,India,5269,358,5785,Lizette Sambells,5/17/2024,01JGGCHAMESMYCXKJBSARQMS06
Franky,78,7,Regional Specials,India,5886,211,5454,Franky Maggi,6/29/2024,01JGGCHAMF8RQZ6VS00HN3GN9D
Rayna,47,10,Handloom Sarees,India,6091,80,4218,Rayna Couldwell,4/13/2024,01JGGCHAMG18W66X9ABVJW2V3X
Erica,25,4,Silk Sarees,India,8001,325,2707,Erica Pegg,7/5/2023,01JGGCHAMJEDJC6S4NYH2BFP6T
Elva,37,13,Cotton Sarees,India,976,24,7038,Elva Scarbarrow,8/29/2022,01JGGCHAMK9BGVNRS7GS0DG63E
Tabina,32,4,Embroidered Sarees,India,4072,82,4086,Tabina McGibbon,2/3/2023,01JGGCHAMM9M28QJ1EMKETKSJY
Charmain,38,2,Silk Sarees,India,6107,119,7394,Charmain Gilbertson,4/27/2024,01JGGCHAMNRTJYRGCNN64G47XZ
Larissa,41,9,Modern Sarees,India,4139,160,2617,Larissa Courtenay,5/11/2023,01JGGCHAMP5CQ4QZSE21B81NR5
Charleen,36,1,Regional Specials,India,7621,302,4518,Charleen Pinkerton,11/19/2022,01JGGCHAMQJBTQVRZTE8BW2GAK
Adrianne,78,15,Silk Sarees,India,8106,188,8023,Adrianne McTurk,7/8/2024,01JGGCHAMSXTZ3044DZ8KYHFH3
Gerry,68,15,Modern Sarees,India,1881,182,8210,Gerry Castellucci,4/1/2024,01JGGCHAMT8WZC393Y0VYJBB3P
Blanca,29,8,Embroidered Sarees,India,5351,2,6420,Blanca Meysham,9/23/2023,01JGGCHAMVJJQ781NYEYGVESB1
Mariska,56,6,Cotton Sarees,India,7084,384,556,Mariska Barbara,9/27/2023,01JGGCHAMW2F5NC6Y9ET60GDVC
Gretel,48,6,Silk Sarees,India,171,75,748,Gretel Mackin,6/13/2022,01JGGCHAMXGKZGMAZQWCSBZBS8
Aubrie,36,7,Regional Specials,India,4647,379,9782,Aubrie Dowtry,6/27/2023,01JGGCHAMYVMSB4569DNXV4WE2
Katerine,44,14,Embroidered Sarees,India,153,50,9439,Katerine Digges,3/22/2023,01JGGCHAMZ49CJ0M84T849GRZ7
Florry,54,5,Embroidered Sarees,India,5466,331,5898,Florry Morgans,7/10/2024,01JGGCHAN0MYS5MKKFYJ247GJ2
Dionis,38,12,Embroidered Sarees,India,1464,359,7843,Dionis Brigstock,10/17/2023,01JGGCHAN18YNT5VJKANKAX9TT
Lauren,28,4,Silk Sarees,India,9644,267,9567,Lauren Grabb,7/30/2023,01JGGCHAN2M6QBHXQN3GBDMMMZ
Carlyn,34,8,Cotton Sarees,India,4251,27,8358,Carlyn Braxton,6/18/2023,01JGGCHAN3M2F3SMWQ9EGM63GA
Georgianne,69,15,Modern Sarees,India,6417,374,6519,Georgianne Frontczak,3/25/2024,01JGGCHAN4DASPQAHWAB3FYPRP
Bab,62,4,Handloom Sarees,India,158,351,1118,Bab Cottis,3/15/2024,01JGGCHAN5A40NJ1RB2K1HD7S1
Mala,58,12,Regional Specials,India,3499,105,7720,Mala Chat,6/23/2024,01JGGCHAN67GZXASTC4GGBCD6M
Kimmi,67,1,Regional Specials,India,1214,322,2262,Kimmi Skypp,3/20/2024,01JGGCHAN79D82W2K62GG0EEE0
Brigit,37,8,Silk Sarees,India,3883,206,6852,Brigit Scutts,12/20/2023,01JGGCHAN88YMAK5H0FGCGNM71
Nance,20,8,Embroidered Sarees,India,5915,5,6721,Nance Loughrey,12/22/2023,01JGGCHAN926H9800XTV7STGQR
Viviyan,29,3,Embroidered Sarees,India,6114,227,7548,Viviyan Sewall,11/15/2024,01JGGCHANAKV3C3GPGRHBDWFR7
Polly,39,12,Cotton Sarees,India,1773,258,3689,Polly Guppey,10/31/2023,01JGGCHANBHMND58HH5ESRZR8B
Deirdre,47,5,Regional Specials,India,9221,19,9721,Deirdre Wilmington,11/20/2022,01JGGCHANCKJ60QZM0SV1R8PDZ
Sisile,43,11,Cotton Sarees,India,7115,287,8875,Sisile Zottoli,8/14/2022,01JGGCHANDPTX50F8JFQ38C7NX
Coleen,21,7,Regional Specials,India,920,318,5966,Coleen Knaggs,7/14/2023,01JGGCHANEHB18TWYGB3YRE1X8
